,Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],NODC Accession Number,WOD Cruise Identifier,WOD Unique Cast,Platform,Project,Originator's Cruise,Originator's Station,Originator's Station Number,Investigator,Institution,Source,Instruments,Methods,pH Scale,Depth Correction Info,Depth [m],Temperature [degrees_C],Salinity [psu],Oxygen [~$m~#mol/kg],Phosphate,Silicate,Nitrate,Nitrite [~$m~#mol/kg],pH,Chlorophyll [~$m~#g/l],Plankton/Biomass,Alkalinity [meq/l],NO2+NO3 [~$m~#mol/kg],pCO~_2 [~$m~#atm],tCO2,Tritium [TU],Helium [nmol/kg],~$d~#~^3He [%],~$D~#~^1~^4C [~%],~$d~#~^1~^3C [~%],Argon [nmol/kg],Neon [nmol/kg],CFC11 [pmol/kg],CFC12 [pmol/kg],CFC113 [pmol/kg],~$d~#~^1~^8O [~%],Transmissivity [m~^-~^1],SA,CT,pdens
40,WOD_CANADA,8082325,B,1994-10-18T23:57,-166.20081,20.0123,,,CA012537,8082325,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,595.57,6.0688,34.262001,55.3,2.81,71.0,38.3,,,,,2.3735,,,1.9916184342367424e+18,,,,,,,,0.0,0.0,,,,34.43207,6.0179,26.975165
43,WOD_CANADA,8082325,B,1994-10-18T23:57,-166.20081,20.0123,,,CA012537,8082325,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,595.57,6.0688,34.262001,55.3,2.81,71.0,38.3,,,,,2.3735,,,1.9916184342367424e+18,,,,,,,,0.0,0.0,,,,34.43207,6.0179,26.975165
46,WOD_CANADA,8082328,B,1994-10-19T17:55,-166.4565,19.0013,,,CA012537,8082328,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,583.32,6.1927,34.327999,44.0,2.86,72.0,38.5,,,,,2.4238,,,1.99793013068064e+18,,,,,,,,0.0,0.0,,,,34.498175,6.14148,27.011333
47,WOD_CANADA,8082328,B,1994-10-19T17:55,-166.4565,19.0013,,,CA012537,8082328,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,793.63,5.1732,34.460999,48.5,2.95,86.8,40.4,,,,,2.4454,,,2.0116294575605153e+18,,,,,,,,0.0,0.0,,,,34.63464,5.10632,27.24506
49,WOD_CANADA,8082328,B,1994-10-19T17:55,-166.4565,19.0013,,,CA012537,8082328,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,583.32,6.1927,34.327999,44.0,2.86,72.0,38.5,,,,,2.4238,,,1.99793013068064e+18,,,,,,,,0.0,0.0,,,,34.498175,6.14148,27.011333
50,WOD_CANADA,8082328,B,1994-10-19T17:55,-166.4565,19.0013,,,CA012537,8082328,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,793.63,5.1732,34.460999,48.5,2.95,86.8,40.4,,,,,2.4454,,,2.0116294575605153e+18,,,,,,,,0.0,0.0,,,,34.63464,5.10632,27.24506
52,WOD_CANADA,8082335,B,1994-10-20T19:21,-166.9912,16.9738,,,CA012537,8082335,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,397.93,8.696,34.258999,80.9,2.32,40.0,29.1,,,,,2.3379,,,1.944156625047586e+18,,,,,,,,0.905,0.967,,,,34.42514,8.65603,26.598142
53,WOD_CANADA,8082335,B,1994-10-20T19:21,-166.9912,16.9738,,,CA012537,8082335,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,471.04,6.9025,34.222,60.7,2.68,61.2,35.8,,,,,2.3589,,,1.9773383634539976e+18,,,,,,,,0.315,0.336,,,,34.389511,6.86085,26.831448
54,WOD_CANADA,8082335,B,1994-10-20T19:21,-166.9912,16.9738,,,CA012537,8082335,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,564.05,6.2734,34.348,40.1,2.9,70.6,38.9,,,,,2.377,,,2.0024744679219346e+18,,,,,,,,0.0,0.0,,,,34.517838,6.22337,27.016258
55,WOD_CANADA,8082335,B,1994-10-20T19:21,-166.9912,16.9738,,,CA012537,8082335,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,785.2,4.873,34.473,40.3,3.05,90.6,42.0,,,,,2.4091,,,2.0217571538490207e+18,,,,,,,,0.0,0.0,,,,34.646151,4.80867,27.288281
57,WOD_CANADA,8082335,B,1994-10-20T19:21,-166.9912,16.9738,,,CA012537,8082335,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,397.93,8.696,34.258999,80.9,2.32,40.0,29.1,,,,,2.3379,,,1.944156625047586e+18,,,,,,,,0.905,0.967,,,,34.42514,8.65603,26.598142
58,WOD_CANADA,8082335,B,1994-10-20T19:21,-166.9912,16.9738,,,CA012537,8082335,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,471.04,6.9025,34.222,60.7,2.68,61.2,35.8,,,,,2.3589,,,1.9773383634539976e+18,,,,,,,,0.315,0.336,,,,34.389511,6.86085,26.831448
59,WOD_CANADA,8082335,B,1994-10-20T19:21,-166.9912,16.9738,,,CA012537,8082335,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,564.05,6.2734,34.348,40.1,2.9,70.6,38.9,,,,,2.377,,,2.0024744679219346e+18,,,,,,,,0.0,0.0,,,,34.517838,6.22337,27.016258
60,WOD_CANADA,8082335,B,1994-10-20T19:21,-166.9912,16.9738,,,CA012537,8082335,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,785.2,4.873,34.473,40.3,3.05,90.6,42.0,,,,,2.4091,,,2.0217571538490207e+18,,,,,,,,0.0,0.0,,,,34.646151,4.80867,27.288281
62,WOD_CANADA,8082341,B,1994-10-21T08:43,-167.23351,15.9933,,,CA012537,8082341,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,400.43,7.7575,34.192001,,2.2,42.4,29.2,,,,,2.3593,,,1.9359834144862052e+18,,,,,,,,,,,,,34.358081,7.72084,26.686264
63,WOD_CANADA,8082341,B,1994-10-21T08:43,-167.23351,15.9933,,,CA012537,8082341,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,597.29,5.7387,34.408001,33.5,3.0,77.6,40.7,,,,,2.3907,,,2.0102402687088678e+18,,,,,,,,,,,,,34.578526,5.68719,27.1314
64,WOD_CANADA,8082341,B,1994-10-21T08:43,-167.23351,15.9933,,,CA012537,8082341,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,793.36,5.0473,34.488998,46.2,3.01,89.3,41.5,,,,,2.4147,,,2.0198838369596746e+18,,,,,,,,,,,,,34.662085,4.98092,27.281194
66,WOD_CANADA,8082341,B,1994-10-21T08:43,-167.23351,15.9933,,,CA012537,8082341,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,400.43,7.7575,34.192001,,2.2,42.4,29.2,,,,,2.3593,,,1.9359834144862052e+18,,,,,,,,,,,,,34.358081,7.72084,26.686264
67,WOD_CANADA,8082341,B,1994-10-21T08:43,-167.23351,15.9933,,,CA012537,8082341,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,597.29,5.7387,34.408001,33.5,3.0,77.6,40.7,,,,,2.3907,,,2.0102402687088678e+18,,,,,,,,,,,,,34.578526,5.68719,27.1314
68,WOD_CANADA,8082341,B,1994-10-21T08:43,-167.23351,15.9933,,,CA012537,8082341,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,793.36,5.0473,34.488998,46.2,3.01,89.3,41.5,,,,,2.4147,,,2.0198838369596746e+18,,,,,,,,,,,,,34.662085,4.98092,27.281194
70,WOD_CANADA,8082347,B,1994-10-21T21:04,-167.49651,14.9988,,,CA012537,8082347,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,297.63,9.6395,34.388,63.9,2.36,34.5,29.1,,,,,2.3563,,,1.9458671623677832e+18,,,,,,,,0.688,0.0,,,,34.553455,9.6065,26.545379
71,WOD_CANADA,8082347,B,1994-10-21T21:04,-167.49651,14.9988,,,CA012537,8082347,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,349.84,9.6909,34.576,15.0,2.67,37.6,33.4,,,,,,,,1.9804759714040768e+18,,,,,,,,0.0,0.0,,,,34.74333,9.64822,26.68559
72,WOD_CANADA,8082347,B,1994-10-21T21:04,-167.49651,14.9988,,,CA012537,8082347,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,598.31,6.4724,34.484001,29.0,2.99,65.4,39.7,,,,,2.3795,,,2.0025348469607503e+18,,,,,,,,0.0,0.0,,,,34.654747,6.41623,27.098491
73,WOD_CANADA,8082347,B,1994-10-21T21:04,-167.49651,14.9988,,,CA012537,8082347,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,794.78,5.0947,34.507,41.0,3.06,86.9,42.0,,,,,2.4043,,,2.0201216278420465e+18,,,,,,,,0.0,0.0,,,,34.679963,5.02766,27.289886
75,WOD_CANADA,8082347,B,1994-10-21T21:04,-167.49651,14.9988,,,CA012537,8082347,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,297.63,9.6395,34.388,63.9,2.36,34.5,29.1,,,,,2.3563,,,1.9458671623677832e+18,,,,,,,,0.688,0.0,,,,34.553455,9.6065,26.545379
76,WOD_CANADA,8082347,B,1994-10-21T21:04,-167.49651,14.9988,,,CA012537,8082347,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,349.84,9.6909,34.576,15.0,2.67,37.6,33.4,,,,,,,,1.9804759714040768e+18,,,,,,,,0.0,0.0,,,,34.74333,9.64822,26.68559
77,WOD_CANADA,8082347,B,1994-10-21T21:04,-167.49651,14.9988,,,CA012537,8082347,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,598.31,6.4724,34.484001,29.0,2.99,65.4,39.7,,,,,2.3795,,,2.0025348469607503e+18,,,,,,,,0.0,0.0,,,,34.654747,6.41623,27.098491
78,WOD_CANADA,8082347,B,1994-10-21T21:04,-167.49651,14.9988,,,CA012537,8082347,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,794.78,5.0947,34.507,41.0,3.06,86.9,42.0,,,,,2.4043,,,2.0201216278420465e+18,,,,,,,,0.0,0.0,,,,34.679963,5.02766,27.289886
80,WOD_CANADA,8082351,B,1994-10-22T08:43,-167.7435,13.9783,,,CA012537,8082351,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,297.94,9.3488,34.471001,35.5,2.61,37.5,32.0,,,,,2.349,,,1.8640548570743084e+18,,,,,,,,0.0,0.0,,,,34.637244,9.31482,26.65819
81,WOD_CANADA,8082351,B,1994-10-22T08:43,-167.7435,13.9783,,,CA012537,8082351,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,399.18,8.2577,34.492001,25.6,2.76,47.0,36.0,,,,,2.3588,,,1.9159802130228073e+18,,,,,,,,0.0,0.0,,,,34.659986,8.21487,26.848433
82,WOD_CANADA,8082351,B,1994-10-22T08:43,-167.7435,13.9783,,,CA012537,8082351,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,401.46,8.2415,34.487,26.0,2.72,46.4,35.8,,,,,2.36,,,1.9188964767101852e+18,,,,,,,,0.0,0.0,,,,34.654993,8.19855,26.847008
83,WOD_CANADA,8082351,B,1994-10-22T08:43,-167.7435,13.9783,,,CA012537,8082351,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,599.03,6.1942,34.48,26.8,3.09,70.1,40.4,,,,,2.3675,,,1.9381961793409938e+18,,,,,,,,0.0,0.0,,,,34.650565,6.13936,27.131166
86,WOD_CANADA,8082351,B,1994-10-22T08:43,-167.7435,13.9783,,,CA012537,8082351,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,297.94,9.3488,34.471001,35.5,2.61,37.5,32.0,,,,,2.349,,,1.8640548570743084e+18,,,,,,,,0.0,0.0,,,,34.637244,9.31482,26.65819
87,WOD_CANADA,8082351,B,1994-10-22T08:43,-167.7435,13.9783,,,CA012537,8082351,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,399.18,8.2577,34.492001,25.6,2.76,47.0,36.0,,,,,2.3588,,,1.9159802130228073e+18,,,,,,,,0.0,0.0,,,,34.659986,8.21487,26.848433
88,WOD_CANADA,8082351,B,1994-10-22T08:43,-167.7435,13.9783,,,CA012537,8082351,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,401.46,8.2415,34.487,26.0,2.72,46.4,35.8,,,,,2.36,,,1.9188964767101852e+18,,,,,,,,0.0,0.0,,,,34.654993,8.19855,26.847008
89,WOD_CANADA,8082351,B,1994-10-22T08:43,-167.7435,13.9783,,,CA012537,8082351,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,599.03,6.1942,34.48,26.8,3.09,70.1,40.4,,,,,2.3675,,,1.9381961793409938e+18,,,,,,,,0.0,0.0,,,,34.650565,6.13936,27.131166
92,WOD_CANADA,8082355,B,1994-10-22T20:06,-167.98579,12.9985,,,CA012537,8082355,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,299.25,8.3282,34.248001,87.9,2.25,39.8,29.6,,,,,2.3429,,,1.9398836645088394e+18,,,,,,,,0.767,0.0,,,,34.413263,8.29994,26.643486
93,WOD_CANADA,8082355,B,1994-10-22T20:06,-167.98579,12.9985,,,CA012537,8082355,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,398.7,7.5423,34.426998,41.0,2.69,51.2,36.3,,,,,,,,1.9847928489295222e+18,,,,,,,,0.0,0.0,,,,34.594523,7.50272,26.902199
94,WOD_CANADA,8082355,B,1994-10-22T20:06,-167.98579,12.9985,,,CA012537,8082355,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,494.44,6.7659,34.473999,35.5,2.88,62.8,38.8,,,,,2.3834,,,2.0013240372351278e+18,,,,,,,,0.0,0.0,,,,34.643001,6.71873,27.049052
95,WOD_CANADA,8082355,B,1994-10-22T20:06,-167.98579,12.9985,,,CA012537,8082355,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,595.58,6.0539,34.485001,38.5,2.95,72.0,40.1,,,,,2.3906,,,2.0093097072340718e+18,,,,,,,,0.0,0.0,,,,34.655281,6.0,27.152636
98,WOD_CANADA,8082355,B,1994-10-22T20:06,-167.98579,12.9985,,,CA012537,8082355,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_2,,,,,,var2 = CTD: TYPE UNKNOWN,,,,299.25,8.3282,34.248001,87.9,2.25,39.8,29.6,,,,,2.3429,,,1.9398836645088394e+18,,,,,,,,0.767,0.0,,,,34.413263,8.29994,26.643486
